KAM00
 2.512E+00   28.56   29.15   15.83   13.90    16.76    18.43     9.46     9.02  .525 1.100  .954    
 2.818E+00   24.11   24.23   13.33   11.47    12.65    13.88     7.09     6.90  .527 1.097  .973    
 3.162E+00   20.28   20.15   11.19    9.43     9.83    10.07     5.47     5.08  .530 1.024  .929    
 3.548E+00   16.91   16.87    9.32    7.76     7.74     7.16     4.28     3.67  .533  .926  .856    
 3.981E+00   13.99   14.20    7.70    6.40     5.84     5.34     3.23     2.71  .532  .913  .838    
 4.467E+00   11.56   11.92    6.35    5.25     4.23     4.17     2.36     2.05  .524  .987  .871    
 5.012E+00    9.62    9.88    5.27    4.27     2.99     3.35     1.69     1.57  .513 1.123  .929    
 5.623E+00    8.06    8.06    4.38    3.45     2.18     2.63     1.27     1.14  .499 1.205  .899    
 6.310E+00    6.76    6.48    3.61    2.80     1.66     2.00     1.00      .79  .487 1.208  .791    
 7.079E+00    5.63    5.15    2.92    2.30     1.30     1.47      .79      .53  .477 1.129  .673    
KAM02
 1.995E-03 1647.32 1651.70  859.98  800.99  1265.64  1251.88   338.71   350.51  .274  .989 1.035    
 2.239E-03 1647.01 1651.39  859.90  800.91  1244.35  1253.94   345.99   355.02  .281 1.008 1.026    
 2.512E-03 1646.68 1651.06  859.81  800.81  1229.16  1200.66   314.41   336.79  .268  .977 1.071    
 2.818E-03 1646.29 1650.69  859.70  800.71  1270.91  1215.28   379.22   380.99  .306  .956 1.005    
 3.162E-03 1645.84 1650.26  859.55  800.56  1357.89  1291.70   527.91   479.04  .380  .951  .907    
 3.548E-03 1645.30 1649.74  859.31  800.35  1462.70  1403.14   715.65   604.61  .461  .959  .845    
 3.981E-03 1644.65 1649.11  858.97  800.06  1524.04  1509.94   845.50   708.83  .512  .991  .838    
 4.467E-03 1643.90 1648.35  858.54  799.70  1543.07  1604.35   917.34   788.23  .542 1.040  .859    
 5.012E-03 1643.06 1647.45  858.03  799.25  1553.48  1687.04   963.34   860.10  .563 1.086  .893    
 5.623E-03 1642.08 1646.39  857.40  798.68  1683.25  1768.76  1088.57   996.49  .604 1.051  .915    
 6.310E-03 1640.85 1645.15  856.59  797.94  1909.67  1846.49  1278.88  1183.33  .656  .967  .925    
 7.079E-03 1639.27 1643.70  855.52  796.94  2188.02  1945.72  1500.53  1398.82  .701  .889  .932    
 7.943E-03 1637.26 1641.91  854.13  795.63  2458.50  2211.19  1701.08  1631.06  .714  .899  .959    
 8.913E-03 1634.75 1639.58  852.40  793.94  2705.88  2604.88  1872.34  1865.40  .704  .963  .996    
 1.000E-02 1631.68 1636.49  850.28  791.78  2972.18  3081.97  2035.91  2095.52  .682 1.037 1.029    
 1.122E-02 1627.75 1632.39  847.64  789.07  3492.17  3652.94  2300.95  2340.54  .650 1.046 1.017    
 1.259E-02 1622.49 1626.96  844.26  785.70  4203.18  4271.46  2640.46  2587.29  .617 1.016  .980    
 1.413E-02 1615.41 1619.91  839.91  781.53  4983.24  4893.02  3002.69  2832.45  .591  .982  .943    
 1.585E-02 1606.25 1610.95  834.47  776.40  5610.23  5485.27  3299.70  3120.79  .579  .978  .946    
 1.778E-02 1594.92 1599.80  827.85  770.06  6071.41  6023.21  3524.01  3429.44  .575  .992  .973    
 1.995E-02 1581.36 1586.18  820.01  762.29  6432.33  6528.34  3701.59  3733.46  .574 1.015 1.009    
 2.239E-02 1565.10 1569.51  810.72  752.83  6934.20  7181.60  3936.71  4023.83  .564 1.036 1.022    
 2.512E-02 1545.34 1548.87  799.60  741.47  7527.04  7917.27  4205.33  4282.06  .550 1.052 1.018    
 2.818E-02 1521.33 1523.47  786.29  728.00  8116.39  8615.28  4457.32  4496.32  .535 1.061 1.009    
 3.162E-02 1492.58 1493.01  770.68  712.22  8568.29  9048.22  4598.57  4672.61  .526 1.056 1.016    
 3.548E-02 1458.89 1457.67  752.84  693.92  8863.97  9226.13  4633.41  4799.02  .521 1.041 1.036    
 3.981E-02 1420.16 1417.74  732.87  673.00  8987.22  9181.77  4576.63  4839.66  .518 1.022 1.057    
 4.467E-02 1376.74 1373.75  710.98  649.83  8852.44  8900.07  4427.21  4669.94  .512 1.005 1.055    
 5.012E-02 1329.36 1326.45  687.43  625.23  8510.65  8440.82  4207.77  4341.37  .504  .992 1.032    
 5.623E-02 1278.76 1276.56  662.50  599.94  8031.43  7886.36  3947.59  3936.49  .495  .982  .997    
 6.310E-02 1225.50 1224.23  636.30  574.20  7498.55  7384.91  3695.99  3585.96  .489  .985  .970    
 7.079E-02 1169.95 1169.19  608.80  547.79  6938.07  6928.33  3453.65  3287.74  .486  .999  .952    
 7.943E-02 1112.53 1111.28  580.02  520.57  6373.64  6480.11  3212.36  3019.42  .485 1.017  .940    
 8.913E-02 1053.35 1050.96  550.15  492.66  5855.64  5968.15  2953.73  2745.23  .482 1.019  .929    
 1.000E-01  992.36  989.10  519.52  464.33  5374.53  5414.25  2685.15  2469.33  .478 1.007  .920    
 1.122E-01  929.67  926.56  488.43  435.88  4904.80  4849.31  2416.40  2203.62  .474  .989  .912    
 1.259E-01  866.10  864.00  457.17  407.37  4385.37  4303.32  2156.77  1970.69  .475  .981  .914    
 1.413E-01  802.96  801.98  425.99  378.74  3845.62  3787.09  1910.29  1764.61  .481  .985  .924    
 1.585E-01  741.34  740.99  395.12  350.01  3321.61  3305.48  1679.29  1572.54  .491  .995  .936    
 1.778E-01  681.82  681.53  364.78  321.61  2852.59  2858.24  1464.87  1367.08  .496 1.002  .933    
 1.995E-01  624.59  624.10  335.20  294.24  2438.84  2449.65  1268.26  1160.77  .497 1.004  .915    
 2.239E-01  569.82  569.11  306.58  268.41  2075.15  2082.67  1089.58   970.15  .495 1.004  .890    
 2.512E-01  517.68  516.81  279.12  244.10  1755.79  1759.28   926.76   818.82  .497 1.002  .884    
 2.818E-01  468.32  467.40  253.04  220.95  1477.15  1477.13   780.82   698.39  .501 1.000  .894    
 3.162E-01  421.85  420.98  228.48  198.73  1236.26  1234.09   652.83   597.00  .506  .998  .914    
 3.548E-01  378.28  377.47  205.48  177.64  1031.61  1031.05   544.93   498.73  .506  .999  .915    
 3.981E-01  337.55  336.69  183.94  158.10   858.08   860.94   454.15   407.24  .501 1.003  .897    
 4.467E-01  299.60  298.53  163.83  140.36   710.90   716.40   377.63   327.61  .494 1.008  .868    
 5.012E-01  264.42  263.10  145.08  124.27   586.03   588.88   313.35   266.78  .494 1.005  .851    
 5.623E-01  231.96  230.62  127.66  109.47   480.40   478.17   259.18   220.01  .500  .995  .849    
 6.310E-01  202.21  201.19  111.52   95.72   390.92   384.40   213.04   182.34  .510  .983  .856    
 7.079E-01  175.22  174.71   96.75   83.02   313.58   307.70   172.38   148.99  .517  .981  .864    
